ward,year,category,location,cost,geometry_type,grammar
4,2025,Street Speed Hump,ON S BERKELEY AVE FROM E 43RD ST (4300 S) TO E 44TH ST,4880.0,line,street_segment
4,2025,Street Speed Hump,ON S BLACKSTONE AVE FROM E 49TH ST (4900 S) TO E 52ND ST,12200.0,line,street_segment
4,2025,Street Speed Hump,ON S CHAMPLAIN AVE FROM E 47TH ST (4700 S) TO E 48TH ST,4880.0,line,street_segment
4,2025,Street Speed Hump,ON S ELLIS AVE FROM E 46TH ST (4600 S) TO E 47TH ST,4880.0,line,street_segment
4,2025,Street Speed Hump,ON S GREENWOOD AVE FROM E 47TH ST (4700 S) TO E 48TH ST,4880.0,line,street_segment
4,2025,Street Speed Hump,ON S OAKENWALD AVE FROM E 40TH PL (4032 S) TO E 41ST ST,2440.0,line,street_segment
4,2025,Street Speed Hump,ON S VINCENNES AVE FROM E 42ND ST (4200 S) TO E 43RD ST,4880.0,line,street_segment
4,2025,Street Speed Hump,ON S WOODLAWN AVE FROM S LAKE PARK AVE (4440 S) TO E 46TH ST,12200.0,line,street_segment
4,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
4,2025,Unknown,WARD COMMITTED 2025 TOTAL,1499999.99,unknown,unresolvable_text
4,2025,Unknown,WARD 2025 BALANCE,0.01,unknown,unresolvable_text
4,2025,Alley Resurfacing,E 52ND ST & S INGLESIDE AVE&S ELLIS AVE & E 53RD ST,29013.25,polygon,alley_block_polygon
4,2025,Alley Resurfacing,S BLACKSTONE AVE & E 65TH ST&E 65TH PL & S STONY ISLAND AVE,29911.68,polygon,alley_block_polygon
4,2025,Sidewalk,1701 E 56TH ST,12066.27,unknown,single_address
4,2025,Sidewalk,2327 E 68TH ST,2868.11,unknown,single_address
